businessname,legalowner,licenseno,licstatus,resultdttm,result,address,city,state,zip
OLYMPIC HOUSE OF PIZZA,Bolger Julilan,28456,Active,2021-02-10T15:34:48Z,Pass,655   EAST BROADWAY,South Boston,Ma,2127
ON THE EDGE NUTRITION,,420956,Active,2020-06-26T15:40:59Z,Pass,283  Old Colony AVE,South Boston,MA,2127
OTTO PIZZA,,414790,Active,2021-02-08T14:52:20Z,Pass,416 W Broadway,South Boston,MA,2127
PAN ASIA RESTAURANT,Wong Shui-mei,367136,Active,2021-03-11T14:55:52Z,Pass,720 E Broadway,South Boston,MA,2127
PERKIN'S SQ DELI,One 06 Dorchester St Llc,18439,Active,2021-03-11T13:11:37Z,Fail,106   Dorchester ST,South Boston,MA,2127
PUBLICO,R & K Inc,314698,Active,2021-03-12T15:33:35Z,Fail,11   Dorchester ST,South Boston,MA,2127
RED LINE PIZZA AND GRILL,,77211,Active,2021-03-22T14:38:11Z,Pass,582  Dorchester AVE,South Boston,MA,2127
RONDO'S SUB SHOP,Koufos Evangelos,18846,Active,2020-12-03T14:39:01Z,Fail,134 W Broadway,South Boston,MA,2127
ROSA MEXICANO,,77917,Active,2020-11-16T11:50:25Z,Fail,155   SEAPORT BL,South Boston/,MA,2127
ROZA LYONS,,158528,Active,2021-02-23T15:11:31Z,Fail,709 E Broadway,South Boston,MA,2127
SEAPOINT RESTAURANT,Coleman Mannion  Pres. Bayside Club,20484,Active,2021-04-08T15:25:53Z,Pass,367   EAST EIGHTH,SOUTH BOSTON,MA,2127
SHANNON'S TAVERN INC,Bowen John J,18482,Active,2021-03-18T15:33:17Z,Pass,558   EAST THIRD,SOUTH BOSTON,MA,2127
SHEA'S TAVERN,James & Robert Carney Shea's Tavern,20657,Active,2021-03-10T15:41:00Z,Pass,222 W Broadway,South Boston,MA,2127
SHENANAGANS BAR,,20334,Active,2021-02-16T14:04:50Z,Pass,332 W BROADWAY,SOUTH BOSTON,MA,2127
SIDEWALK CAFE,,22835,Active,2021-02-16T11:53:23Z,Pass,764 E Fourth ST,South Boston,MA,2127
SIX WEST,,410895,Active,2020-06-25T14:24:34Z,Pass,6 W Broadway,South Boston,MA,2127
SIXTH GEAR CASK & KITCHEN,,162259,Active,2020-11-13T17:27:26Z,Fail,81  L ST,South Boston,MA,2127
SOUTH BOSTON CHINESE,Shum David,18231,Active,2021-03-15T13:49:45Z,Fail,429 W BROADWAY,SOUTH BOSTON,MA,2127
SOUTH BOSTON MARKET,,197937,Active,2021-02-22T15:14:20Z,Fail,626   Dorchester AVE,South Boston,MA,2127
SOUTH BOSTON YACHT CLUB,Board Of Trustees,21203,Active,2020-09-29T15:54:07Z,Pass,1849   Columbia RD,South Boston,MA,2127
SPORTS CONNECTION BAR & GRILL,Angelo A. Attardo  Pres.,21263,Active,2021-04-23T12:12:57Z,Pass,560   Dorchester AVE,South Boston,MA,2127
STARBUCKS COFFEE COMPANY,,78060,Active,2021-02-16T10:38:49Z,Pass,11 W Broadway,South Boston,MA,2127
STATS BAR & GRILLE,Devlin Michael Ts,68489,Active,2021-03-09T13:04:31Z,Fail,77   Dorchester ST,South Boston,MA,2127
STOP & SHOP  NO. 053,,21719,Active,2021-03-08T15:32:43Z,Pass,713 E Broadway,South Boston,MA,2127
SUBWAY,,141241,Active,2021-03-05T14:23:46Z,Fail,11 W Broadway,South Boston,MA,2127
SULLIVAN'S,Sullivan,18833,Active,2020-06-08T11:07:32Z,Pass,2080   WM J DAY  BL,SOUTH BOSTON,MA,2127
SUPREME HOUSE OF PIZZA,Rotary Variety Store Inc,160954,Active,2020-11-04T11:04:57Z,Pass,309  Old Colony AVE,South Boston,MA,2127
TEMAZCAL CANTINA,,201182,Active,2021-04-01T14:50:22Z,Fail,250  Northern AVE,South Boston,MA,2210
TERIYAKI HOUSE,,22879,Active,2020-10-15T15:53:39Z,Pass,32 W Broadway,South Boston,MA,2127
THE BROADWAY RESTAURANT,Boston Beer Garden Giuseppe,318049,Active,2021-03-22T16:10:45Z,Pass,732 E Broadway,South Boston,MA,2127
THE GALLEY DINER,Paul Skudris,20014,Active,2021-04-08T12:00:23Z,Pass,11   P STREET ST,SOUTH BOSTON,MA,2127
THE HUB,Chiminiello Robyn,156012,Active,2021-04-13T15:44:41Z,Pass,604 E Broadway,South Boston,MA,2127
THE JUICE BOX,,166081,Active,2021-04-15T12:31:14Z,Pass,359 W Broadway,South Boston,MA,2127
THE PARAMOUNT,,75944,Active,2020-09-30T15:31:48Z,Pass,667 E Broadway,South Boston,MA,2127
THE PLAYWRIGHT,Bolger Julilan,21571,Active,2021-03-22T15:07:09Z,Pass,658 E Broadway,South Boston,MA,2127
THE PURPLE SHELL,,398702,Active,2021-03-12T14:16:03Z,Pass,11 W Broadway,South Boston,MA,2127
TOM ENGLISH COTTAGE,English Thomas A Jr,18495,Active,2021-02-25T15:38:34Z,Pass,112   Emerson ST,South Boston,MA,2127
TONY C'S SPORTS BAR & GRILL,,68640,Active,2021-04-01T14:32:45Z,Fail,250  Northern AVE,South Boston,MA,2210
TOUCHIE'S SHAMROCK PUB,,24118,Active,2021-02-26T14:36:46Z,Fail,501 E Eighth ST,South Boston,MA,2127
WALGREENS NO. 17169,Maxi Drugs  Inc. Brooks Lic. Dept.,362268,Active,2021-01-25T12:00:14Z,Fail,710 E Broadway,South Boston,MA,2127
WAVE HEALTH & FITNESS,Seaport Hotel Attn: Micha,23075,Active,2021-04-21T15:11:17Z,Pass,1   SEAPORT LA,SOUTH BOSTON,MA,2210
WEST SEVENTH MINI MARKET,Chaletzky Stephen E Ts,80504,Active,2021-03-08T14:12:32Z,Pass,51 W Seventh ST,South Boston,MA,2127
WORDEN HALL,,138566,Active,2021-04-14T15:23:16Z,Pass,22 W Broadway,South Boston,MA,2127
